CNAE,Cod. Atividade
9329801,1206
9329802,1209
9329803,1209
9329804,1209
9329899,1209
9511800,1402
9512600,1402
9521500,1402
9529101,1402
9529102,2401
9529103,1402
9529104,1402
9529105,1411
9529106,1402
9529199,1402
9601701,1410
9601702,1410
9601703,1410
9602501,601
9602502,605
9603301,2504
9603302,2502
9603303,2501
9603304,2501
9603305,2501
9603399,2501
9609202,1701
9609203,508
9609204,1209
9609299,1401
9700500,1705

